word,jyutping
來歷,loi4 lik6
來自,loi4 zi6
例外,lai6 ngoi6
例證,lai6 zing3
供款,gung1 fun2
依傍,ji1 bong6
依據,ji1 geoi3
依舊,ji1 gau6
依賴,ji1 laai6
依靠,ji1 kaau3
侮辱,mou5 juk6
侵入,cam1 jap6
侵害,cam1 hoi6
侵犯,cam1 faan6
侵略,cam1 loek6
侵蝕,cam1 sik6
侵襲,cam1 zaap6
促使,cuk1 si2
促成,cuk1 sing4
促進,cuk1 zeon3
俗稱,zuk6 cing1
俗語,zuk6 jyu5
俘虜,fu1 lou5
保佑,bou2 jau6
保健,bou2 gin6
保姆,bou2 mou5
保守,bou2 sau2
保安,bou2 on1
保密,bou2 mat6
保管,bou2 gun2
保衞,bou2 wai6
保釋,bou2 sik1
保障,bou2 zoeng3
保險,bou2 him2
保養,bou2 joeng5
信仰,seon3 joeng5
信奉,seon3 fung6
信念,seon3 nim6
信息,seon3 sik1
信用,seon3 jung6
信號,seon3 hou6
信貸,seon3 taai3
修建,sau1 gin3
修改,sau1 goi2
修正,sau1 zing3
修築,sau1 zuk1
修訂,sau1 ding3
修養,sau1 joeng5
俯瞰,fu2 ham3
倉庫,cong1 fu3
個兒,go3 ji4
個子,go3 zi2
個性,go3 sing3
個案,go3 on3
個體,go3 tai2
倒塌,dou2 taap3
倒退,dou3 teoi3
倒閉,dou2 bai3
倔強,gwat6 koeng5
倫理,leon4 lei5
值錢,zik6 cin4 [zik6 cin2]
假使,gaa2 si2
假冒,gaa2 mou6
假設,gaa2 cit3
偏差,pin1 caa1
偏見,pin1 gin3
做人,zou6 jan4
停頓,ting4 deon6
健全,gin6 cyun4
健壯,gin6 zong3
健美,gin6 mei5
健身,gin6 san1
側重,zak1 zung6
偵察,zing1 caat3
偵探,zing1 taam3
偵查,zing1 caa4
偶像,ngau5 zoeng6
偶爾,ngau5 ji5
偶而,ngau5 ji4
偷竊,tau1 sit3
傑作,git6 zok3
傑出,git6 ceot1
備受,bei6 sau6
傢伙,gaa1 fo2
催促,ceoi1 cuk1
傳奇,zyun6 kei4
傳媒,cyun4 mui4
傳授,cyun4 sau6
傳教,cyun4 gaau3
傳真,cyun4 zan1
傳統,cyun4 tung2
傳記,zyun6 gei3
傳送,cyun4 sung3
傳達,cyun4 daat6
傳遞,cyun4 dai6
債券,zaai3 hyun3 / zaai3 gyun3
債務,zaai3 mou6
傷勢,soeng1 sai3
傷感,soeng1 gam2
傷殘,soeng1 caan4
傾倒,①king1 dou2 ②king1 dou2
傾向,king1 hoeng3
傾斜,king1 ce4
傾瀉,king1 se3
僅僅,gan2 gan2
僥倖,hiu1 hang6
僧尼,zang1 nei4
僱主,gu3 zyu2
僱員,gu3 jyun4
僱用,gu3 jung6
僵硬,goeng1 ngaang6
儀器,ji4 hei3
儀容,ji4 jung4
儀表,①ji4 biu2 ②ji4 biu1
儉樸,gim6 pok3
儒學,jyu4 hok6
儘快,zeon6 faai3
儘管,zeon2 gun2
儘量,zeon2 loeng6
優先,jau1 sin1
優劣,jau1 lyut3
優勝,jau1 sing3
優勢,jau1 sai3
優待,jau1 doi6
優惠,jau1 wai6
優異,jau1 ji6
優秀,jau1 sau3
優質,jau1 zat1
優越,jau1 jyut6
優雅,jau1 ngaa5
儲存,cyu5 cyun4
允許,wan5 heoi2
元宵,jyun4 siu1
元帥,jyun4 seoi3
元素,jyun4 sou3
充實,cung1 sat6
先前,sin1 cin4
先天,sin1 tin1
先進,sin1 zeon3
光彩,gwong1 coi2
光復,gwong1 fuk6
光景,gwong1 ging2
光榮,gwong1 wing4
光澤,gwong1 zaak6
光芒,gwong1 mong4
光輝,gwong1 fai1
免得,min5 dak1
免疫,min5 jik6
兑換,deoi3 wun6
入境,jap6 ging2
入讀,jap6 duk6
內地,noi6 dei6
內心,noi6 sam1
內戰,noi6 zin3
內政,noi6 zing3
內涵,noi6 haam4
內科,noi6 fo1
內置,noi6 zi3
內部,noi6 bou6
內閣,noi6 gok3
全局,cyun4 guk6
全民,cyun4 man4
全球,cyun4 kau4
全線,cyun4 sin3
全面,cyun4 min6
八哥,baat3 go1
八珍,baat3 zan1
公佈,gung1 bou3
公元,gung1 jyun4
公告,gung1 gou3
公布,gung1 bou3
公式,gung1 sik1
公援,gung1 wun4 / gung1 jyun4
公映,gung1 jing2
公款,gung1 fun2
公民,gung1 man4
公益,gung1 jik1
公約,gung1 joek3
公認,gung1 jing6
公證,gung1 zing3
公頃,gung1 king2
共識,gung6 sik1
共鳴,gung6 ming4
兵力,bing1 lik6
兵器,bing1 hei3
其次,kei4 ci3
其間,kei4 gaan1
具備,geoi6 bei6
具體,geoi6 tai2
典型,din2 jing4
典雅,din2 ngaa5
兼職,gim1 zik1
再三,zoi3 saam1
再度,zoi3 dou6
再生,zoi3 sang1
再説,zoi3 syut3
冒險,mou6 him2
冶金,je5 gam1
冷卻,laang5 koek3
冷汗,laang5 hon6
冷淡,laang5 daam6
冷笑,laang5 siu3
冷落,laang5 lok6
冷靜,laang5 zing6
