word,jyutping
同甘共苦,tung4 gam1 gung6 fu2
同病相憐,tung4 beng6 soeng1 lin4
同舟共濟,tung4 zau1 gung6 zai3
名列前茅,ming4 lit6 cin4 maau4
名噪一時,ming4 cou3 jat1 si4
名存實亡,ming4 cyun4 sat6 mong4
名正言順,ming4 zing3 jin4 seon6
名聞遐邇,ming4 man4 haa4 ji5
名落孫山,ming4 lok6 syun1 saan1
吞吞吐吐,tan1 tan1 tou3 tou3
呆若木雞,ngoi4 joek6 muk6 gai1
周而復始,zau1 ji4 fuk6 ci2
呼之欲出,fu1 zi1 juk6 ceot1
呼風喚雨,fu1 fung1 wun6 jyu5
咄咄逼人,cyut3 cyut3 bik1 jan4
和好如初,wo4 hou2 jyu4 co1
和藹可親,wo4 oi2 ho2 can1
和顏悅色,wo4 ngaan4 jyut6 sik1
咎由自取,gau3 jau4 zi6 ceoi2
咬牙切齒,ngaau5 ngaa4 cit3 ci2
哄堂大笑,hung3 tong4 daai6 siu3
哭哭啼啼,huk1 huk1 tai4 tai4
唇槍舌劍,seon4 coeng1 sit3 gim3
唯利是圖,wai4 lei6 si6 tou4
唯我獨尊,wai4 ngo5 duk6 zyun1
啞口無言,aa2 hau2 mou4 jin4
啼笑皆非,tai4 siu3 gaai1 fei1
善解人意,sin6 gaai2 jan4 ji3
喜出望外,hei2 ceot1 mong6 ngoi6
喜形於色,hei2 jing4 jyu1 sik1
喜怒哀樂,hei2 nou6 oi1 lok6
喜氣洋洋,hei2 hei3 joeng4 joeng4
喧賓奪主,hyun1 ban1 dyut6 zyu2
喪權辱國,song3 kyun4 juk6 gwok3
嘆為觀止,taan3 wai4 gun1 zi2
嚴陣以待,jim4 zan6 ji5 doi6
四分五裂,sei3 fan1 ng5 lit6
四平八穩,sei3 ping4 baat3 wan2
四腳朝天,sei3 goek3 ciu4 tin1
四面楚歌,sei3 min6 co2 go1
回天乏術,wui4 tin1 fat6 seot6
因勢利導,jan1 sai3 lei6 dou6
因地制宜,jan1 dei6 zai3 ji4
因材施教,jan1 coi4 si1 gaau3
國泰民安,gwok3 taai3 man4 on1
土生土長,tou2 sang1 tou2 zoeng2
在所不惜,zoi6 so2 bat1 sik1
在所難免,zoi6 so2 naan4 min5
地大物博,dei6 daai6 mat6 bok3
坐立不安,zo6 laap6 bat1 on1
坐言起行,zo6 jin4 hei2 hang4
垂涎三尺,seoi4 jin4 saam1 cek3
垂頭喪氣,seoi4 tau4 song3 hei3
執迷不悟,zap1 mai4 bat1 ng6
堂而皇之,tong4 ji4 wong4 zi1
堅定不移,gin1 ding6 bat1 ji4
堅忍不拔,gin1 jan2 bat1 bat6
堅持不懈,gin1 ci4 bat1 haai6
壽終正寢,sau6 zung1 zing3 cam2
多不勝數,do1 bat1 sing1 sou2
多愁善感,do1 sau4 sin6 gam2
多才多藝,do1 coi4 do1 ngai6
多此一舉,do1 ci2 jat1 geoi2
夜闌人靜,je6 laan4 jan4 zing6
夢寐以求,mung6 mei6 ji5 kau4
大公無私,daai6 gung1 mou4 si1
大刀闊斧,daai6 dou1 fut3 fu2
大功告成,daai6 gung1 gou3 sing4
大勢所趨,daai6 sai3 so2 ceoi1
大同小異,daai6 tung4 siu2 ji6
大失所望,daai6 sat1 so2 mong6
大展拳腳,daai6 zin2 kyun4 goek3
大庭廣眾,daai6 ting4 gwong2 zung3
大惑不解,daai6 waak6 bat1 gaai2
大搖大擺,daai6 jiu4 daai6 baai2
大發雷霆,daai6 faat3 leoi4 ting4
大相逕庭,daai6 soeng1 ging3 ting4
大紅大紫,daai6 hung4 daai6 zi2
大義凜然,daai6 ji6 lam5 jin4
大聲疾呼,daai6 sing1 zat6 fu1
大興土木,daai6 hing1 tou2 muk6
大難臨頭,daai6 naan6 lam4 tau4
大顯身手,daai6 hin2 san1 sau2
大驚失色,daai6 ging1 sat1 sik1
大驚小怪,daai6 geng1 siu2 gwaai3
天倫之樂,tin1 leon4 zi1 lok6
天方夜譚,tin1 fong1 je6 taam4
天朗氣清,tin1 long5 hei3 cing1
天涯海角,tin1 ngaai4 hoi2 gok3
天淵之別,tin1 jyun1 zi1 bit6
天災人禍,tin1 zoi1 jan4 wo6
天經地義,tin1 ging1 dei6 ji6
天羅地網,tin1 lo4 dei6 mong5
天翻地覆,tin1 faan1 dei6 fuk1
天衣無縫,tin1 ji1 mou4 fung4
天長地久,tin1 coeng4 dei6 gau2
天馬行空,tin1 maa5 hang4 hung1
失之交臂,sat1 zi1 gaau1 bei3
失諸交臂,sat1 zyu1 gaau1 bei3
奄奄一息,jim1 jim1 jat1 sik1
奇形怪狀,kei4 jing4 gwaai3 zong6
奇花異卉,kei4 faa1 ji6 wai2
奇花異草,kei4 faa1 ji6 cou2
奉公守法,fung6 gung1 sau2 faat3
奮不顧身,fan5 bat1 gu3 san1
如出一轍,jyu4 ceot1 jat1 cit3
如夢初醒,jyu4 mung6 co1 sing2
如意算盤,jyu4 ji3 syun3 pun4
如數家珍,jyu4 sou2 gaa1 zan1
